freq,epsilon_r       ,epsilon_i       
89857142857,1.981,-0.00187
89885714286,1.981,-0.00188
89914285714,1.981,-0.00189
89942857143,1.981,-0.0019
89971428571,1.981,-0.00192
90000000000,1.981,-0.00193
90028571429,1.981,-0.00194
90057142857,1.981,-0.00196
90085714286,1.981,-0.00197
90114285714,1.981,-0.00198
90142857143,1.981,-0.00199
90171428571,1.982,-0.00201
90200000000,1.982,-0.00202
90228571429,1.982,-0.00203
90257142857,1.982,-0.00205
90285714286,1.982,-0.00206
90314285714,1.982,-0.00207
90342857143,1.982,-0.00208
90371428571,1.982,-0.0021
90400000000,1.982,-0.00211
90428571429,1.982,-0.00212
90457142857,1.982,-0.00214
90485714286,1.982,-0.00249
90514285714,1.982,-0.00252
90542857143,1.982,-0.00254
90571428571,1.982,-0.00256
90600000000,1.982,-0.0022
90628571429,1.982,-0.00221
90657142857,1.982,-0.00222
90685714286,1.982,-0.00223
90714285714,1.982,-0.00224
90742857143,1.982,-0.00226
90771428571,1.982,-0.00227
90800000000,1.982,-0.00228
90828571429,1.982,-0.00229
90857142857,1.982,-0.0023
90885714286,1.982,-0.00231
90914285714,1.982,-0.00232
90942857143,1.982,-0.00233
90971428571,1.982,-0.00234
91000000000,1.982,-0.00235
91028571429,1.982,-0.00236
91057142857,1.982,-0.00238
91085714286,1.982,-0.00238
91114285714,1.982,-0.00239
91142857143,1.982,-0.0024
91171428571,1.982,-0.00241
91200000000,1.982,-0.00242
91228571429,1.982,-0.00243
91257142857,1.982,-0.00244
91285714286,1.982,-0.00245
91314285714,1.982,-0.00246
91342857143,1.982,-0.00247
91371428571,1.982,-0.00248
91400000000,1.982,-0.00248
91428571429,1.982,-0.00249
91457142857,1.982,-0.0025
91485714286,1.982,-0.00251
91514285714,1.982,-0.00252
91542857143,1.982,-0.00252
91571428571,1.982,-0.00253
91600000000,1.982,-0.00254
91628571429,1.982,-0.00255
91657142857,1.982,-0.00255
91685714286,1.982,-0.00256
91714285714,1.982,-0.00257
91742857143,1.982,-0.00257
91771428571,1.982,-0.00258
91800000000,1.982,-0.00259
91828571429,1.982,-0.00259
91857142857,1.982,-0.0026
91885714286,1.982,-0.0026
91914285714,1.982,-0.00261
91942857143,1.982,-0.00262
91971428571,1.982,-0.00262
92000000000,1.982,-0.00263
92028571429,1.982,-0.00263
92057142857,1.982,-0.00264
92085714286,1.982,-0.00264
92114285714,1.982,-0.00265
92142857143,1.982,-0.00265
92171428571,1.982,-0.00266
92200000000,1.982,-0.00266
92228571429,1.982,-0.00267
92257142857,1.983,-0.00267
92285714286,1.983,-0.00268
92314285714,1.983,-0.00268
92342857143,1.983,-0.00269
92371428571,1.983,-0.00269
92400000000,1.983,-0.0027
92428571429,1.983,-0.0027
92457142857,1.983,-0.0027
92485714286,1.983,-0.00271
92514285714,1.983,-0.00271
92542857143,1.983,-0.00272
92571428571,1.983,-0.00272
92600000000,1.983,-0.00272
92628571429,1.983,-0.00273
92657142857,1.983,-0.00273
92685714286,1.983,-0.00273
92714285714,1.983,-0.00274
92742857143,1.983,-0.0032
92771428571,1.983,-0.0032
92800000000,1.983,-0.00319
92828571429,1.983,-0.00275
92857142857,1.983,-0.00275
92885714286,1.983,-0.00275
92914285714,1.983,-0.00275
92942857143,1.983,-0.00276
92971428571,1.983,-0.00276
93000000000,1.983,-0.00276
93028571429,1.983,-0.00276
93057142857,1.983,-0.00276
93085714286,1.983,-0.00276
93114285714,1.983,-0.00276
93142857143,1.983,-0.00276
93171428571,1.983,-0.00277
93200000000,1.983,-0.00277
93228571429,1.983,-0.00277
93257142857,1.983,-0.00277
93285714286,1.983,-0.00277
93314285714,1.983,-0.00277
93342857143,1.983,-0.00276
93371428571,1.983,-0.00276
93400000000,1.983,-0.00276
93428571429,1.983,-0.00276
93457142857,1.983,-0.00276
93485714286,1.983,-0.00276
93514285714,1.983,-0.00276
93542857143,1.983,-0.00275
93571428571,1.983,-0.00275
93600000000,1.983,-0.00275
93628571429,1.983,-0.00275
93657142857,1.983,-0.00274
93685714286,1.983,-0.00274
93714285714,1.983,-0.00274
93742857143,1.983,-0.00273
93771428571,1.983,-0.00273
93800000000,1.983,-0.00272
93828571429,1.984,-0.00272
93857142857,1.984,-0.00271
93885714286,1.984,-0.00271
93914285714,1.984,-0.0027
93942857143,1.984,-0.00269
93971428571,1.984,-0.00269
94000000000,1.984,-0.00268
94028571429,1.984,-0.00267
94057142857,1.984,-0.00267
94085714286,1.984,-0.00266
94114285714,1.984,-0.00265
94142857143,1.984,-0.00264
94171428571,1.984,-0.00263
94200000000,1.984,-0.00263
94228571429,1.984,-0.00262
94257142857,1.984,-0.00261
94285714286,1.984,-0.0026
94314285714,1.984,-0.00259
94342857143,1.984,-0.00258
94371428571,1.984,-0.00257
94400000000,1.984,-0.00255
94428571429,1.984,-0.00254
94457142857,1.984,-0.00253
94485714286,1.984,-0.00252
94514285714,1.984,-0.00251
94542857143,1.984,-0.0025
94571428571,1.984,-0.00248
94600000000,1.984,-0.00247
94628571429,1.984,-0.00246
94657142857,1.984,-0.00245
94685714286,1.984,-0.00243
94714285714,1.984,-0.00242
94742857143,1.984,-0.00241
94771428571,1.984,-0.00239
94800000000,1.984,-0.00238
94828571429,1.984,-0.00236
94857142857,1.985,-0.00235
94885714286,1.985,-0.00234
94914285714,1.985,-0.00232
94942857143,1.985,-0.00231
94971428571,1.985,-0.00229
95000000000,1.985,-0.00228
95028571429,1.985,-0.00226
95057142857,1.985,-0.00225
95085714286,1.985,-0.00223
95114285714,1.985,-0.00222
95142857143,1.985,-0.0022
95171428571,1.985,-0.00219
95200000000,1.985,-0.00217
95228571429,1.985,-0.00216
95257142857,1.985,-0.00214
95285714286,1.985,-0.00213
95314285714,1.985,-0.00211
95342857143,1.985,-0.0021
95371428571,1.985,-0.00208
95400000000,1.985,-0.00207
95428571429,1.985,-0.00205
95457142857,1.985,-0.00204
95485714286,1.985,-0.00202
95514285714,1.985,-0.00201
95542857143,1.985,-0.002
95571428571,1.985,-0.00198
95600000000,1.985,-0.00197
95628571429,1.985,-0.00196
95657142857,1.985,-0.00194
95685714286,1.985,-0.00193
95714285714,1.985,-0.00192
95742857143,1.985,-0.0019
95771428571,1.985,-0.00189
95800000000,1.986,-0.00188
95828571429,1.986,-0.00187
95857142857,1.986,-0.00186
95885714286,1.986,-0.00185
95914285714,1.986,-0.00184
95942857143,1.986,-0.00183
95971428571,1.986,-0.00182
